,GEO_ID,County,State,POPUNI,zero_risk,one_two_risk,three_plus_risk,Total_Population_E,Cases,Deaths,Risk_Index,Risk_Cat,0_mortality_rate,1_2_mortality_rate,3_mortality_rate,fatality_rate,Above Average,Below Average,High,Low,Very high,Very low
376,0500000US12113,Santa Rosa County,FL,178869,65398,79619,33852,174755,72657.99999999996,1133.0000000000011,33.62,Below Average,0.017324688828404555,0.014230271668822783,0.033469218953089956,0.015593602906768722,0,1,0,0,0,0
377,0500000US12115,Sarasota County,FL,431171,110651,213556,106964,419496,162443.9999999999,8463.0,39.31,Below Average,0.07648371908071323,0.039628949783663305,0.0791200777831794,0.052097953756371454,0,1,0,0,0,0
378,0500000US12117,Seminole County,FL,470885,178250,206237,86398,461402,202688.99999999985,2079.0000000000005,16.15,Low,0.011663394109396917,0.010080635385503089,0.02406305701520869,0.010257093379512465,0,0,0,1,0,0
379,0500000US12119,Sumter County,FL,124500,14238,68477,41785,125044,42677.00000000011,1902.0,92.98,High,0.13358617783396545,0.027775749521737225,0.04551872681584301,0.044567331349438695,0,0,1,0,0,0
380,0500000US12121,Suwannee County,FL,42303,11366,19464,11473,44046,40070.0,1983.0,88.37,High,0.17446771071617104,0.10188039457459926,0.17284058223655538,0.04948839530821063,0,0,1,0,0,0
381,0500000US12123,Taylor County,FL,19252,5373,9719,4160,21870,7593.999999999998,54.00000000000001,76.52,Above Average,0.010050251256281409,0.005556127173577529,0.012980769230769233,0.007110877008164343,1,0,0,0,0,0
382,0500000US12125,Union County,FL,10427,2969,4722,2736,15303,6086.999999999996,127.0,72.87,Above Average,0.04277534523408555,0.026895383312155866,0.04641812865497076,0.02086413668473798,1,0,0,0,0,0
383,0500000US12127,Volusia County,FL,543420,158207,254023,131190,536487,202078.0000000004,5195.0,60.32,Above Average,0.03283672656709248,0.020450904051995292,0.039599054806006555,0.025707894971248674,1,0,0,0,0,0
384,0500000US12129,Wakulla County,FL,30512,11701,12229,6582,32321,10646.999999999998,115.0,60.32,Above Average,0.009828219810272626,0.009403876032382043,0.017471893041628685,0.010801164647318496,1,0,0,0,0,0
385,0500000US12131,Walton County,FL,72312,19829,36113,16370,68262,29891.99999999997,717.9999999999999,59.57,Above Average,0.03620959201170003,0.019882036939606232,0.04386072083078802,0.02401980463000136,1,0,0,0,0,0
386,0500000US12133,Washington County,FL,22923,6336,10654,5933,24764,11803.000000000002,698.0,79.43,Above Average,0.11016414141414141,0.06551529941805895,0.11764705882352941,0.059137507413369476,1,0,0,0,0,0
387,0500000US13001,Appling County,GA,18086,4344,7367,6375,18440,22725.999999999985,1222.0000000000005,81.22,Above Average,0.2813075506445673,0.1658748472919778,0.191686274509804,0.053771011176625944,1,0,0,0,0,0
388,0500000US13003,Atkinson County,GA,8153,2080,3322,2751,8239,10125.000000000007,174.0,44.42,Below Average,0.08365384615384615,0.052378085490668275,0.06324972737186478,0.01718518518518517,0,1,0,0,0,0
389,0500000US13005,Bacon County,GA,10955,2642,5436,2877,11201,17920.000000000004,322.99999999999994,76.52,Above Average,0.12225586676760028,0.05941869021339219,0.11226972540841151,0.018024553571428563,1,0,0,0,0,0
390,0500000US13007,Baker County,GA,3038,569,1103,1366,3132,3943.000000000002,259.99999999999994,90.01,High,0.4569420035149384,0.23572076155938346,0.19033674963396774,0.06593963986812068,0,0,1,0,0,0
391,0500000US13009,Baldwin County,GA,39694,11230,17019,11445,45111,46757.000000000015,2598.999999999998,51.9,Above Average,0.2314336598397149,0.1527116751865561,0.22708606378331134,0.055585259961075294,1,0,0,0,0,0
392,0500000US13011,Banks County,GA,19234,6226,8135,4873,18708,10611.00000000001,65.99999999999997,41.54,Below Average,0.010600706713780914,0.008113091579594342,0.01354401805869074,0.006219960418433693,0,1,0,0,0,0
393,0500000US13013,Barrow County,GA,83145,31982,35142,16021,78991,44589.99999999997,1913.0,63.19,Above Average,0.0598148958789319,0.054436287063912125,0.11940577991386306,0.04290199596322048,1,0,0,0,0,0
394,0500000US13015,Bartow County,GA,107085,38641,44833,23611,104919,71081.99999999997,4285.000000000001,38.17,Below Average,0.11089257524391193,0.0955769187875003,0.18148320697979758,0.060282490644607674,0,1,0,0,0,0
395,0500000US13017,Ben Hill County,GA,16607,4075,6480,6052,17033,12992.999999999996,83.99999999999999,77.11,Above Average,0.020613496932515334,0.01296296296296296,0.013879709187045602,0.006465019625952436,1,0,0,0,0,0
396,0500000US13019,Berrien County,GA,19305,5211,8313,5781,19152,9270.0,1.0,72.22,Above Average,0.00019190174630589137,0.00012029351617947793,0.0001729804532087874,0.00010787486515641856,1,0,0,0,0,0
397,0500000US13021,Bibb County,GA,147863,45142,63648,39073,153200,96451.0000000002,3091.999999999999,70.18,Above Average,0.06849497142350802,0.048579688285570626,0.07913392879993855,0.032057728794932065,1,0,0,0,0,0
